PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,6/5/2025,40:58.2,1,1,"McNaught, Ray",1000145668,Right,NSH_N,"Mainolfi, Ty",1000437382,Left,KEE_SWA,Undefined,4,Bottom,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.89626,-3.471739,-2.464689,2337.533565,219.133637,1:15,6.1334,0.99024,6.82019,-19.3534,12.14961,9.02934,1.34651,-0.50725,84.76548,-7.156673,-0.81577,0.403969,,,,,,,,,,,,-5.5367,7.79571,-0.83448,50,5.90211,5.45775,-134.77321,-8.71325,-10.11967,31.0054,-17.92544,KEE_SWA,NSH_N,Keene,NECBL,NECL,20250605-Keene-1,8835ccd0-4266-11f0-9daa-eb69249eb7d2,93.30538,,,8.13077,,,,,,,82e0a6d3-bf4e-42ff-b062-da2b3a60cc15,6/5/2025,40:58.2,2025-06-05T19:40:58.2490000-04:00,2025-06-05T23:40:58.2490000Z,,v3,,,,"Sengenberger, Aidan",10034113,Right,NSH_N,bd34cea9-7777-4d10-9750-a6be71b2a2ac,53.6802,-135.61722,15.5027,6.13266,-8.22529,-8.96272,-0.98679,5.73323,-5.05984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,6/5/2025,41:13.7,1,2,"McNaught, Ray",1000145668,Right,NSH_N,"Mainolfi, Ty",1000437382,Left,KEE_SWA,Undefined,4,Bottom,0,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,93.33257,-2.908258,-2.155368,2366.611817,225.517723,1:30,6.0931,0.95906,6.70052,-19.43903,11.95938,11.08414,1.80972,-0.08905,84.86549,-6.612116,-0.135201,0.403297,,,,,,,,,,,,-6.51103,7.52166,-0.81965,50,5.89173,4.65974,-135.44313,-7.43413,-11.98464,32.10311,-18.32923,KEE_SWA,NSH_N,Keene,NECBL,NECL,20250605-Keene-1,916d4440-4266-11f0-9daa-eb69249eb7d2,93.46071,,,8.46708,,,,,,,82e0a6d3-bf4e-42ff-b062-da2b3a60cc15,6/5/2025,41:13.7,2025-06-05T19:41:13.7430000-04:00,2025-06-05T23:41:13.7430000Z,,v3,,,,"Sengenberger, Aidan",10034113,Right,NSH_N,0f0ef684-71ba-4b7b-bf90-85c557d395ae,53.79918,-136.34064,16.05155,6.0924,-6.9217,-9.16461,-0.95461,4.9948,-5.99232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,6/5/2025,41:49.8,1,4,"McNaught, Ray",1000145668,Right,NSH_N,"Mainolfi, Ty",1000437382,Left,KEE_SWA,Undefined,4,Bottom,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.30872,-0.956357,-0.998863,2518.566572,202.800497,12:45,6.18945,0.97692,6.48005,-14.93099,17.24595,6.80477,4.06682,0.6267,83.93784,-3.847002,0.235988,0.408267,,,,,,,,,,,,-3.82599,9.59914,-0.9093,50,6.11519,2.05654,-134.13041,-2.61536,-6.93454,30.3941,-14.77579,KEE_SWA,NSH_N,Keene,NECBL,NECL,20250605-Keene-1,a6d723a0-4266-11f0-9daa-eb69249eb7d2,92.3231,,,8.37089,,,,,,,82e0a6d3-bf4e-42ff-b062-da2b3a60cc15,6/5/2025,41:49.8,2025-06-05T19:41:49.7690000-04:00,2025-06-05T23:41:49.7690000Z,,v3,,,,"Sengenberger, Aidan",10034113,Right,NSH_N,c5d195f2-864e-4562-8d08-b343f0e03b79,54.01789,-135.0378,15.19705,6.18669,-2.17425,-7.38789,-0.97379,2.26357,-3.46727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,6/5/2025,42:10.8,1,5,"McNaught, Ray",1000145668,Right,NSH_N,"Mainolfi, Ty",1000437382,Left,KEE_SWA,Undefined,4,Bottom,0,3,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.76389,-2.038644,-1.088216,2458.818248,217.013782,1:15,6.1022,0.97023,6.67356,-20.29509,12.01993,8.26674,2.54474,0.66343,83.74755,-5.900013,0.41845,0.409141,,,,,,,,,,,,-4.67937,7.25662,-0.90035,50,5.95741,2.21169,-133.35592,-5.31959,-8.38574,29.97683,-19.16978,KEE_SWA,NSH_N,Keene,NECBL,NECL,20250605-Keene-1,b381a1c0-4266-11f0-9daa-eb69249eb7d2,92.12569,,,8.01634,,,,,,,82e0a6d3-bf4e-42ff-b062-da2b3a60cc15,6/5/2025,42:10.8,2025-06-05T19:42:10.8450000-04:00,2025-06-05T23:42:10.8450000Z,,v3,,,,"Sengenberger, Aidan",10034113,Right,NSH_N,98c232bd-7a6d-4081-bf6f-47e5db7157ce,53.82624,-134.21325,14.98842,6.10172,-4.77134,-9.58489,-0.96703,2.45152,-4.19287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,6/5/2025,42:37.3,1,6,"McNaught, Ray",1000145668,Right,NSH_N,"Mainolfi, Ty",1000437382,Left,KEE_SWA,Undefined,4,Bottom,0,3,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,91.87892,-1.27913,-1.976991,2303.444294,208.25359,1:00,6.13073,0.99323,6.56683,-17.16355,15.16623,7.58831,3.52693,-0.18749,83.77802,-4.572851,-0.598377,0.409235,82.00214,-29.289333,46.645984,,,,,8.14444,7.52066,35.014741,0.060511,-4.57681,8.6626,-0.86023,50,6.03522,4.31286,-133.51952,-3.44694,-8.23164,29.73873,-16.59385,KEE_SWA,NSH_N,Keene,NECBL,NECL,20250605-Keene-1,c3410100-4266-11f0-9daa-eb69249eb7d2,92.1046,3.5737,,8.1009,,,,2.29659,3.5737,0.04063,82e0a6d3-bf4e-42ff-b062-da2b3a60cc15,6/5/2025,42:37.3,2025-06-05T19:42:37.3120000-04:00,2025-06-05T23:42:37.3120000Z,GroundBall,v3,,,,"Sengenberger, Aidan",10034113,Right,NSH_N,6c1015ab-0f44-4017-aec9-605e58b0e890,53.93369,-134.39281,14.86937,6.12929,-2.95966,-8.29692,-0.99043,4.55459,-4.11582,180,2.29397,72.27981,,,,,,,,3.57584,-59.05841,,,,,,,,0.03785,76.55674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
9,6/5/2025,43:51.2,2,3,"McNaught, Ray",1000145668,Right,NSH_N,"Spielman-Rodriguez, Pablo",1000368674,Right,KEE_SWA,Undefined,4,Bottom,1,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.07317,-0.854618,-1.400849,2522.69735,188.258734,12:15,6.05446,1.06297,6.75899,-17.32017,15.22895,2.06288,3.83024,-0.04488,83.27096,-4.186203,-1.024609,0.410621,,,,,,,,,,,,-1.4726,8.59229,-0.97192,50,5.99143,3.15801,-132.43285,-2.41484,-2.61502,28.30218,-16.91576,KEE_SWA,NSH_N,Keene,NECBL,NECL,20250605-Keene-1,ef2f0960-4266-11f0-9daa-eb69249eb7d2,91.7938,,,7.80221,,,,,,,82e0a6d3-bf4e-42ff-b062-da2b3a60cc15,6/5/2025,43:51.2,2025-06-05T19:43:51.1690000-04:00,2025-06-05T23:43:51.1690000Z,,v3,,,,"Sengenberger, Aidan",10034113,Right,NSH_N,0ca78a24-68d5-452c-856e-db88033239e5,53.73942,-133.2296,14.15109,6.05271,-1.93863,-8.45788,-1.06186,3.23163,-1.30751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,6/5/2025,44:07.5,2,4,"McNaught, Ray",1000145668,Right,NSH_N,"Spielman-Rodriguez, Pablo",1000368674,Right,KEE_SWA,Undefined,4,Bottom,1,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.35929,-1.933579,-1.8362,2409.979943,185.910055,12:15,6.2458,1.19792,6.51585,-20.40824,13.69579,1.3087,2.76925,-0.37853,82.02518,-5.80071,-1.598617,0.420314,,,,,,,,,,,,-1.18347,8.0328,-1.07044,50,6.10189,4.11161,-129.84257,-4.95858,-2.02466,26.64789,-18.43176,KEE_SWA,NSH_N,Keene,NECBL,NECL,20250605-Keene-1,f90ea7b0-4266-11f0-9daa-eb69249eb7d2,89.67678,,,7.33411,,,,,,,82e0a6d3-bf4e-42ff-b062-da2b3a60cc15,6/5/2025,44:07.5,2025-06-05T19:44:07.4910000-04:00,2025-06-05T23:44:07.4910000Z,,v3,,,,"Sengenberger, Aidan",10034113,Right,NSH_N,7188720c-cd79-4082-8644-f04588291ad9,53.98352,-130.65756,13.32395,6.24492,-4.39487,-9.21588,-1.19714,4.17353,-1.01233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
11,6/5/2025,44:24.8,2,5,"McNaught, Ray",1000145668,Right,NSH_N,"Spielman-Rodriguez, Pablo",1000368674,Right,KEE_SWA,Undefined,4,Bottom,1,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,90.30831,-0.435079,-1.625219,2451.079766,203.795388,12:45,6.13529,1.14266,6.37713,-22.68222,11.0104,4.37784,3.84464,0.01182,82.3689,-4.723524,-0.832485,0.417771,,,,,,,,,,,,-2.73185,6.19567,-1.02727,50,6.09336,3.54365,-131.21118,-1.68288,-4.74898,28.50154,-21.40369,KEE_SWA,NSH_N,Keene,NECBL,NECL,20250605-Keene-1,03375cf0-4267-11f0-9daa-eb69249eb7d2,90.22262,,,7.93941,,,,,,,82e0a6d3-bf4e-42ff-b062-da2b3a60cc15,6/5/2025,44:24.8,2025-06-05T19:44:24.7840000-04:00,2025-06-05T23:44:24.7840000Z,,v3,,,,"Sengenberger, Aidan",10034113,Right,NSH_N,72c370c5-f15c-4843-a165-99456160e561,54.12115,-132.10333,14.25077,6.13555,-1.0129,-10.70185,-1.14052,3.6923,-2.37449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
12,6/5/2025,44:59.1,3,1,"McNaught, Ray",1000145668,Right,NSH_N,"Pitts, Gabriel",10147423,Right,KEE_SWA,Undefined,4,Bottom,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,CaughtStealing,1,0,,90.09577,-1.392343,-2.25927,2413.805201,194.103695,12:30,6.06887,0.98446,6.68942,-19.26119,14.01079,3.26689,3.18912,-0.81067,82.73742,-5.063005,-1.664582,0.415155,,,,,,,,,,,,-2.31705,8.07481,-0.83489,50,5.968,5.0404,-130.95953,-3.70157,-4.0392,26.67278,-18.09764,KEE_SWA,NSH_N,Keene,NECBL,NECL,20250605-Keene-1,17db2d30-4267-11f0-9daa-eb69249eb7d2,90.79114,,,7.35836,,,,,,,82e0a6d3-bf4e-42ff-b062-da2b3a60cc15,6/5/2025,44:59.1,2025-06-05T19:44:59.1430000-04:00,2025-06-05T23:44:59.1430000Z,,v3,,,,"Sengenberger, Aidan",10034113,Right,NSH_N,9f3cc66c-0f73-4086-81af-23fc96bc4f48,53.8097,-131.73318,13.33639,6.06776,-3.17665,-9.04882,-0.98278,5.15756,-2.0196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.30076,1.97791,0.659917,1.317993,-1.75768,2.90064,0.90192,-3.95277,6.3104,0.938,127.2799,1.18442,-0.93151,-3.81487,112.3394,-9.89038,6.36674,14.03497,-13.68679,0.91862,-2.72282,1.01783,High,High,High,,,High,High,High
1,6/7/2025,34:13.3,1,1,"McNaught, Ray",1000145668,Right,NSH_N,"Carr, Cade",1000090767,Right,VAL_BLU,Undefined,6,Bottom,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.50269,-1.713652,-1.847831,2525.601217,205.659641,12:45,6.43412,0.75927,6.52001,-15.34072,16.62273,7.48634,3.58211,-0.3129,84.33556,-4.671107,-0.488821,0.40691,,,,,,,,,,,,-4.41831,9.49378,-0.63339,50,6.30769,4.02535,-134.35832,-4.41514,-8.05451,29.85057,-14.86694,VAL_BLU,NSH_N,MackenzieStadium,NECBL,NECL,20250607-MackenzieStadium-1,4d6ccc70-4400-11f0-a67e-c7b027504206,92.63097,,,8.16713,,,,,,,2d2e025b-1060-41cf-b8a3-dd851e4412c3,6/8/2025,34:13.3,2025-06-07T20:34:13.2628992-04:00,2025-06-08T00:34:13.2628992Z,,v3,,,,"Kea, Jaydon",1000069129,Right,NSH_N,b578b80c-dc5c-443e-9558-01f2d37a0241,53.97751,-135.23912,14.92529,6.4315,-3.97646,-7.43347,-0.75568,4.26302,-4.02725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
