PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,7/26/2025,37:16.3,3,1,"Yozzo, Stefano",1000278790,Right,NSH_N,"Kent, Zack",1000215889,Right,SAN_MAI,Undefined,6,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.99824,-2.660402,-2.631961,2153.238026,194.321483,12:30,5.65215,0.89771,6.3981,-17.33765,18.45588,4.39292,1.75642,-1.15835,79.84939,-5.99432,-1.837083,0.4306,66.56189,16.687841,163.273191,3003.968415,,,,133.20673,61.89416,169.19279,1.678553,-3.09878,10.81642,-0.71078,50,5.45296,5.69276,-127.5781,-6.3744,-5.05693,28.65984,-14.52274,NSH_N,SAN_MAI,FraserField,NECBL,NECL,20250726-FraserField-1,1560f5d0-6a71-11f0-a00c-57b95c2ba4dc,87.53474,12.28778,,8.14884,,,,0.4362,1.67653,1.18478,57f39f68-fa0b-4328-ba07-66561d560b3f,7/26/2025,37:16.3,2025-07-26T18:37:16.2722304-04:00,2025-07-26T22:37:16.2722304Z,LineDrive,v3,,,,"Kea, Jaydon",1000069129,Right,NSH_N,19663147-3fbb-4b67-97c7-836400d9c8f4,54.09795,-128.49539,14.32992,5.64954,-5.90959,-7.26137,-0.89557,5.85461,-2.52846,282.602299,0.43625,-89.56094,6.97894,-0.60417,1.21084,-1.65072,1.29142,-0.51575,0.08094,1.67655,28.03108,-19.68462,1.56371,0.21533,-0.60897,0.50509,-0.1985,0.03008,1.18474,26.91784,-8.70704,1.18981,-1.08935,1.3478,-1.04123,0.4165,-0.06568,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
3,7/26/2025,38:11.1,3,3,"Yozzo, Stefano",1000278790,Right,NSH_N,"Kent, Zack",1000215889,Right,SAN_MAI,Undefined,6,Top,1,1,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Sacrifice,1,1,,89.05941,-3.251634,-1.639029,2251.615577,196.962275,12:30,5.63211,0.89723,6.34056,-18.24942,17.10261,4.80776,1.11332,-0.21148,80.14404,-6.75658,-0.768767,0.427936,76.72518,31.205137,24.863107,5282.996055,95.30764,49.43753,54.9219,243.83931,234.79095,35.182065,3.867974,-3.06177,10.39264,-0.78023,50,5.38679,3.49948,-129.00888,-7.81754,-5.05601,31.88274,-15.01224,NSH_N,SAN_MAI,FraserField,NECBL,NECL,20250726-FraserField-1,3606cf30-6a71-11f0-a00c-57b95c2ba4dc,88.0797,52.12966,,8.91537,,,,0.68193,1.05252,0.24482,57f39f68-fa0b-4328-ba07-66561d560b3f,7/26/2025,38:11.1,2025-07-26T18:38:11.1077376-04:00,2025-07-26T22:38:11.1077376Z,FlyBall,v3,,,,"Kea, Jaydon",1000069129,Right,NSH_N,c5382028-f4e0-425e-ae92-2ed742420b0c,54.15485,-130.03163,15.94137,5.62985,-7.33597,-7.50612,-0.89509,3.66167,-2.528,218.473965,0.68198,87.32976,-19.24379,5.02535,-1.2525,0.3339,-0.08734,0.01526,-0.00112,1.05342,58.27373,-17.91073,0.41886,0.50907,-0.3417,0.11445,-0.01886,0.0012,0.24489,40.46661,-0.28832,-0.81949,0.35397,-0.09443,0.01684,-0.00164,6.00E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,7/26/2025,39:42.9,4,3,"Yozzo, Stefano",1000278790,Right,NSH_N,"Hudson, Brennan",830984,Left,SAN_MAI,Undefined,6,Top,2,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.35313,0.72113,-0.866638,2044.215042,200.795065,12:45,5.65929,0.89248,6.04656,-23.51352,11.64288,3.95764,4.36754,0.41992,80.66489,-3.724763,-0.154347,0.42675,,,,,,,,,,,,-2.28799,6.12524,-0.82702,50,5.70291,1.79094,-129.65287,0.89134,-3.84846,30.1009,-21.8712,NSH_N,SAN_MAI,FraserField,NECBL,NECL,20250726-FraserField-1,6ca7f280-6a71-11f0-a00c-57b95c2ba4dc,88.3244,,,8.68824,,,,,,,57f39f68-fa0b-4328-ba07-66561d560b3f,7/26/2025,39:42.9,2025-07-26T18:39:42.9437440-04:00,2025-07-26T22:39:42.9437440Z,,v3,,,,"Kea, Jaydon",1000069129,Right,NSH_N,e0cb5328-5c02-43d9-a72b-e9a90b35147b,54.44733,-130.68131,15.05045,5.65969,1.6386,-10.9356,-0.89046,1.92243,-1.92423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,7/26/2025,40:23.0,4,5,"Yozzo, Stefano",1000278790,Right,NSH_N,"Hudson, Brennan",830984,Left,SAN_MAI,Undefined,6,Top,2,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.93625,-1.204174,-0.425707,2105.023629,209.980764,1:00,5.5844,1.00895,6.16013,-23.0293,12.95158,6.77248,2.5527,1.18005,79.9525,-5.552642,0.796707,0.431725,,,,,,,,,,,,-3.59603,7.418,-0.97983,50,5.4813,0.66766,-127.67589,-3.37736,-5.89292,28.05962,-20.01788,NSH_N,SAN_MAI,FraserField,NECBL,NECL,20250726-FraserField-1,8483bc40-6a71-11f0-a00c-57b95c2ba4dc,87.30656,,,7.98375,,,,,,,57f39f68-fa0b-4328-ba07-66561d560b3f,7/26/2025,40:23.0,2025-07-26T18:40:22.9752832-04:00,2025-07-26T22:40:22.9752832Z,,v3,,,,"Kea, Jaydon",1000069129,Right,NSH_N,1daa99a0-db57-4eb8-8cf4-918e931c05e4,54.33446,-128.62495,14.02981,5.58408,-2.70029,-10.00894,-1.00578,0.86698,-2.94646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,7/26/2025,40:46.6,4,6,"Yozzo, Stefano",1000278790,Right,NSH_N,"Hudson, Brennan",830984,Left,SAN_MAI,Undefined,6,Top,1,3,2,Fastball,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,89.58143,-1.876344,-0.881086,2102.376912,223.386832,1:30,5.52544,1.02158,6.19784,-24.25379,10.60465,8.84965,1.77136,0.94563,81.05577,-6.445747,0.71796,0.424938,,,,,,,,,,,,-4.82807,6.46059,-0.95943,50,5.37225,1.62699,-129.95687,-5.01556,-8.14181,30.77394,-21.27927,NSH_N,SAN_MAI,FraserField,NECBL,NECL,20250726-FraserField-1,92aceb20-6a71-11f0-a00c-57b95c2ba4dc,88.70103,,,8.52566,,,,,,,57f39f68-fa0b-4328-ba07-66561d560b3f,7/26/2025,40:46.6,2025-07-26T18:40:46.5671680-04:00,2025-07-26T22:40:46.5671680Z,,v3,,,,"Kea, Jaydon",1000069129,Right,NSH_N,e88cb45a-9eaf-468f-8a7d-358344fbeb05,54.29672,-130.97039,15.38697,5.5259,-4.31474,-10.63963,-1.01743,1.89514,-4.07091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
12,7/26/2025,42:13.0,6,1,"Yozzo, Stefano",1000278790,Right,NSH_N,"Strohmeyer, Kellen",808875,Left,SAN_MAI,Undefined,6,Top,2,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.01198,-1.854145,-0.799141,2053.532221,227.374442,1:30,5.4787,1.02421,6.16751,-26.50883,10.28867,9.81812,1.55628,1.1042,79.19744,-6.823026,0.974122,0.436597,,,,,,,,,,,,-5.29559,6.26693,-0.96841,50,5.32486,1.3645,-126.30116,-4.91003,-8.48,27.80177,-22.13862,NSH_N,SAN_MAI,FraserField,NECBL,NECL,20250726-FraserField-1,c6209c40-6a71-11f0-a00c-57b95c2ba4dc,86.33235,,,7.81454,,,,,,,57f39f68-fa0b-4328-ba07-66561d560b3f,7/26/2025,42:13.0,2025-07-26T18:42:13.0126336-04:00,2025-07-26T22:42:13.0126336Z,,v3,,,,"Kea, Jaydon",1000069129,Right,NSH_N,a83e0bf9-7ad8-44b4-83bb-51e2478d0fcc,54.32823,-127.25034,13.90088,5.47959,-4.1542,-11.06931,-1.01993,1.65401,-4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
13,7/26/2025,42:32.5,6,2,"Yozzo, Stefano",1000278790,Right,NSH_N,"Strohmeyer, Kellen",808875,Left,SAN_MAI,Undefined,6,Top,2,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.57429,-0.714911,-2.846141,2009.920427,200.02439,12:45,5.49011,1.01347,6.17635,-23.00647,12.69465,4.16658,2.91183,-1.26989,80.02904,-5.072295,-2.09559,0.430044,,,,,,,,,,,,-3.05921,7.16288,-0.8003,50,5.42441,6.21522,-128.42918,-2.29691,-5.0409,29.93125,-20.37129,NSH_N,SAN_MAI,FraserField,NECBL,NECL,20250726-FraserField-1,d1d8f230-6a71-11f0-a00c-57b95c2ba4dc,87.64796,,,8.54526,,,,,,,57f39f68-fa0b-4328-ba07-66561d560b3f,7/26/2025,42:32.5,2025-07-26T18:42:32.4785664-04:00,2025-07-26T22:42:32.4785664Z,,v3,,,,"Kea, Jaydon",1000069129,Right,NSH_N,736dff5e-444e-4eae-83d9-523d48833596,54.31938,-129.43193,14.96563,5.48992,-1.61444,-10.18565,-1.01135,6.3841,-2.52045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
14,7/26/2025,42:56.3,6,3,"Yozzo, Stefano",1000278790,Right,NSH_N,"Strohmeyer, Kellen",808875,Left,SAN_MAI,Undefined,6,Top,2,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.61119,-0.710255,-1.36902,2154.719304,189.75364,12:15,5.55012,1.0589,6.12651,-19.67525,14.74828,2.35071,3.25376,-0.01093,81.98213,-4.434865,-0.945364,0.422279,73.31031,28.570017,-54.891041,3852.716155,56.4992,37.33241,-94.38114,207.21059,203.95225,-62.384665,2.941795,-1.59417,8.14583,-0.95545,50,5.48553,3.01589,-130.21675,-2.20356,-2.73896,27.18261,-18.1788,NSH_N,SAN_MAI,FraserField,NECBL,NECL,20250726-FraserField-1,e011ff90-6a71-11f0-a00c-57b95c2ba4dc,89.25966,37.32453,,7.62906,,,,0.30446,3.13761,0.22979,57f39f68-fa0b-4328-ba07-66561d560b3f,7/26/2025,42:56.3,2025-07-26T18:42:56.2637312-04:00,2025-07-26T22:42:56.2637312Z,FlyBall,v3,,,,"Kea, Jaydon",1000069129,Right,NSH_N,2f07ad7a-8d79-4f89-9b92-65ae1946c138,54.37086,-131.12599,13.59131,5.54906,-1.5955,-9.0894,-1.05786,3.1075,-1.36948,,0.30442,54.31007,-14.00021,3.74873,-0.81759,0.14465,-0.01245,-0.00129,0.00028,3.13765,51.41943,-21.30869,1.77542,-0.28913,0.0603,-0.02081,0.00459,-0.00037,0.22981,-77.2489,9.17086,-2.30613,0.47794,-0.08343,0.00796,0.00052,-0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
15,7/26/2025,43:25.4,6,4,"Yozzo, Stefano",1000278790,Right,NSH_N,"Strohmeyer, Kellen",808875,Left,SAN_MAI,Undefined,6,Top,2,1,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Error,0,0,,91.26114,-1.719129,-1.007729,2091.824782,197.24639,12:30,5.67323,0.86473,5.88181,-18.10155,15.85757,4.54796,2.56759,0.30781,82.4672,-5.162992,-0.191483,0.419421,67.29076,-63.260004,84.870617,,,,,1.35569,0.91496,43.058075,0.029275,-2.64114,9.00422,-0.78602,50,5.52414,2.12869,-132.3473,-4.5257,-4.62465,31.61102,-16.40754,NSH_N,SAN_MAI,FraserField,NECBL,NECL,20250726-FraserField-1,f1674110-6a71-11f0-a00c-57b95c2ba4dc,89.86788,2.59097,,8.79394,,,,0.87384,2.59097,-0.37458,57f39f68-fa0b-4328-ba07-66561d560b3f,7/26/2025,43:25.4,2025-07-26T18:43:25.4355456-04:00,2025-07-26T22:43:25.4355456Z,GroundBall,v3,,,,"Kea, Jaydon",1000069129,Right,NSH_N,383111eb-a9f8-4c58-add9-293708bc839e,54.61346,-133.44468,15.80551,5.67137,-3.95612,-8.20377,-0.8627,2.28923,-2.31233,,0.87376,3.98663,,,,,,,,2.5927,-88.50476,,,,,,,,-0.37545,44.41212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
18,7/26/2025,45:25.0,7,3,"Yozzo, Stefano",1000278790,Right,NSH_N,"Kolben, Ryan",832077,Right,SAN_MAI,Undefined,6,Top,2,0,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,91.51887,-2.462725,-2.34944,2175.37391,202.938189,12:45,5.55768,0.83871,6.26808,-16.0369,17.03568,6.74347,1.94758,-0.7665,83.36562,-5.534539,-1.131615,0.41391,,,,,,,,,,,,-4.17591,9.88662,-0.66795,50,5.36728,5.16691,-132.76612,-6.15359,-7.42063,29.59875,-14.60544,NSH_N,SAN_MAI,FraserField,NECBL,NECL,20250726-FraserField-1,38b16050-6a72-11f0-a00c-57b95c2ba4dc,91.06443,,,8.15324,,,,,,,57f39f68-fa0b-4328-ba07-66561d560b3f,7/26/2025,45:25.0,2025-07-26T18:45:25.0140000-04:00,2025-07-26T22:45:25.0140000Z,,v3,,,,"Kea, Jaydon",1000069129,Right,NSH_N,0ff53fcd-1a1a-46e5-a4b1-5bc8a555357b,54.22837,-133.70546,14.79938,5.55522,-5.69007,-7.30272,-0.83566,5.40241,-3.71032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.87185,,,1.166895,,,,3.70953,5.27064,5.55433,81.12391,0.3438,43.65792,3.71921,70.79936,-3.90673,5.28754,13.26632,-15.16161,5.57364,38.36303,-5.06886,High,High,High,,,High,Low,Low
